time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
45,0,3.577037E-07,2.099676,0.804,0.1961946,0,3.577037E-07,2.099676,0.804,0.1961946,9.809732
99,0,3.577037E-07,2.091828,0.804,0.3924131,0,3.577037E-07,2.091828,0.804,0.3924131,9.810925
860,0,3.577037E-07,0.2000049,0.804,5.675468,0,3.577037E-07,0.2000049,0.804,5.675468,264.1528
887,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,-283.7734
895,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
908,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
922,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
935,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
949,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
964,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
977,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
991,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1005,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1019,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1033,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1047,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1061,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1075,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1089,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1103,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1117,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1131,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1145,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1158,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1172,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1186,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1200,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
