time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
50,0,3.577037E-07,2.099676,0.804,0.1961946,0,3.577037E-07,2.099676,0.804,0.1961946,9.809732
107,0,3.577037E-07,2.091828,0.804,0.3924131,0,3.577037E-07,2.091828,0.804,0.3924131,9.810925
915,0,3.577037E-07,0.2000049,0.804,5.675468,0,3.577037E-07,0.2000049,0.804,5.675468,264.1528
933,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,-283.7734
945,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
959,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
973,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
986,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1000,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1014,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1028,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1042,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1056,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1070,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1084,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1097,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1111,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1125,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1140,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1153,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1167,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1181,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1195,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1209,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1223,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1237,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1251,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1265,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1277,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1292,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1307,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1321,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1335,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
