time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
38,0,3.577037E-07,2.099676,0.804,0.1961946,0,3.577037E-07,2.099676,0.804,0.1961946,9.809732
87,0,3.577037E-07,2.091828,0.804,0.3924131,0,3.577037E-07,2.091828,0.804,0.3924131,9.810925
840,0,3.577037E-07,0.2000049,0.804,5.675468,0,3.577037E-07,0.2000049,0.804,5.675468,264.1528
864,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,-283.7734
884,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
895,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
909,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
922,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
937,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
953,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
964,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
979,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
993,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1006,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1020,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1035,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1048,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1062,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1077,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1090,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1103,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1118,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1131,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1145,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1159,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1174,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1187,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1201,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1216,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1229,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1243,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1257,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1271,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1285,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1298,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1313,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1327,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1341,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1354,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1368,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1382,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1396,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1409,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
