time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
7007,0,0.3156867,1.792058,0.6426823,0.02829436,0,0.03223768,1.619328,0.8509185,0.02513943,-0.9395651
7021,0,0.3156104,1.792161,0.6428973,0.01875605,0,0.03197884,1.619444,0.8508163,0.02257475,-0.4769155
7034,0,0.3160022,1.79217,0.6429458,0.02797485,0,0.03189756,1.619593,0.8504456,0.0288616,0.4609399
7048,0,0.3159639,1.792353,0.6430898,0.01664493,0,0.03198821,1.619703,0.8499044,0.03942138,-0.5664961
7063,0,0.3154719,1.792873,0.6434799,0.0581278,0,0.03216327,1.61982,0.8493223,0.0441467,2.074144
7076,0,0.3149655,1.793298,0.6436009,0.04889169,0,0.03250558,1.62002,0.8484477,0.06984109,-0.4618054
7090,0,0.31475,1.793395,0.6436425,0.01732203,0,0.03289714,1.620325,0.847567,0.07304815,-1.578483
7104,0,0.3145402,1.793457,0.6437234,0.01668225,0,0.03333905,1.620767,0.8466882,0.07706873,-0.03198907
7118,0,0.3142367,1.793596,0.6438202,0.02526711,0,0.03371949,1.621227,0.8460242,0.06495864,0.4292433
7132,0,0.3137345,1.793748,0.6439146,0.03778169,0,0.03397308,1.621534,0.8456611,0.03817959,0.6257287
7146,0,0.3133691,1.793827,0.6439837,0.02704244,0,0.0341093,1.621775,0.8455068,0.02254827,-0.5369624
7161,0,0.3129534,1.79395,0.644052,0.03123703,0,0.03417104,1.621963,0.845433,0.01504556,0.2097295
7174,0,0.3120242,1.794267,0.644095,0.07209434,0,0.03427781,1.622247,0.845269,0.02526289,2.042866
7187,0,0.3109305,1.794686,0.6440465,0.08513473,0,0.03438212,1.622536,0.8450839,0.02607244,0.6520193
7201,0,0.3100487,1.794981,0.6439747,0.06760093,0,0.03442622,1.622697,0.8449624,0.0149411,-0.8766901
7215,0,0.3092608,1.795135,0.6439017,0.05712529,0,0.03443635,1.622823,0.8448643,0.01138409,-0.5237821
7229,0,0.3085024,1.795205,0.643795,0.05468579,0,0.03444766,1.622976,0.8447484,0.01366097,-0.1219748
7243,0,0.3072979,1.795276,0.643578,0.08880504,0,0.03444312,1.623148,0.8446422,0.0146576,1.705963
7257,0,0.3051997,1.795312,0.6431791,0.1527415,0,0.03438001,1.623306,0.8445649,0.01333833,3.196822
7272,0,0.3035337,1.795275,0.642899,0.1224501,0,0.03423193,1.623405,0.8445095,0.01351528,-1.514568
7285,0,0.3016011,1.795223,0.6425627,0.141151,0,0.03405226,1.623426,0.8444561,0.0135692,0.9350434
7299,0,0.2990355,1.795158,0.6421162,0.1846673,0,0.03374524,1.623388,0.8443823,0.02255231,2.175817
7313,0,0.2960372,1.795097,0.6415634,0.2213681,0,0.03327885,1.623246,0.8443084,0.03578046,1.835042
7327,0,0.2935057,1.795001,0.6409968,0.1844275,0,0.03280294,1.623025,0.8442627,0.03743063,-1.847033
7341,0,0.2911997,1.794861,0.6404344,0.1695848,0,0.03228819,1.622779,0.8442481,0.04070251,-0.742133
7355,0,0.2888344,1.794556,0.6397718,0.17711,0,0.03163391,1.62248,0.8442838,0.05152824,0.3762603
7369,0,0.2864101,1.794171,0.6390225,0.1879407,0,0.03063984,1.622105,0.8444175,0.07842825,0.5415358
7383,0,0.2837285,1.793766,0.6380652,0.2052071,0,0.029188,1.621744,0.8447355,0.1091277,0.8633174
7396,0,0.281078,1.793467,0.6371828,0.2021417,0,0.02751345,1.621486,0.845201,0.1264202,-0.1532689
7410,0,0.2784827,1.793195,0.6363638,0.193879,0,0.02626495,1.621408,0.8455655,0.09236375,-0.4131369
7424,0,0.2757539,1.792998,0.6354933,0.2098138,0,0.02461722,1.621367,0.8460662,0.1258848,0.796742
7439,0,0.2730387,1.792889,0.6346641,0.2018889,0,0.02322898,1.621462,0.8464739,0.1030404,-0.3962472
7453,0,0.2701311,1.792807,0.6337534,0.2164063,0,0.02176117,1.621557,0.8469164,0.1090555,0.7258728
7466,0,0.2668591,1.792804,0.6326138,0.2517742,0,0.02024334,1.621668,0.8473783,0.1155666,1.768395
